Date,Open,High,Low,Close,Adj Close,Volume
2011-08-29,53356.000000,55027.000000,53356.000000,54861.000000,54861.000000,2293800
2011-08-30,54861.000000,55768.000000,54425.000000,55385.000000,55385.000000,2343400
2011-08-31,55399.000000,56495.000000,55399.000000,56495.000000,56495.000000,2940000
2011-09-01,56498.000000,58589.000000,56498.000000,58118.000000,58118.000000,4013600
2011-09-02,58114.000000,58114.000000,56302.000000,56532.000000,56532.000000,3147400
2011-09-05,56521.000000,56521.000000,54818.000000,54998.000000,54998.000000,1609000
2011-09-06,54998.000000,56676.000000,54121.000000,56607.000000,56607.000000,2846800
2011-09-08,56609.000000,58242.000000,56609.000000,57624.000000,57624.000000,2757000
2011-09-09,57614.000000,57614.000000,55528.000000,55778.000000,55778.000000,2481800
2011-09-12,55773.000000,55792.000000,54310.000000,55685.000000,55685.000000,2376200
2011-09-13,55690.000000,56336.000000,55166.000000,55544.000000,55544.000000,2099400
2011-09-14,55544.000000,56776.000000,55090.000000,56286.000000,56286.000000,2836200
2011-09-15,56287.000000,57161.000000,56196.000000,56381.000000,56381.000000,2136800
2011-09-16,56381.000000,57210.000000,56257.000000,57210.000000,57210.000000,1970000
2011-09-19,57208.000000,57208.000000,56060.000000,57103.000000,57103.000000,2328200
2011-09-20,57105.000000,57620.000000,56379.000000,56379.000000,56379.000000,2677000
2011-09-21,56381.000000,57600.000000,55915.000000,55982.000000,55982.000000,2777000
2011-09-22,55981.000000,55981.000000,52706.000000,53280.000000,53280.000000,3603600
2011-09-23,53273.000000,53855.000000,52754.000000,53230.000000,53230.000000,2689200
2011-09-26,53243.000000,53873.000000,52399.000000,53748.000000,53748.000000,2143200
2011-09-27,53751.000000,54992.000000,53751.000000,53920.000000,53920.000000,2454200
2011-09-28,53921.000000,54796.000000,53258.000000,53270.000000,53270.000000,2340800
2011-09-29,53276.000000,54207.000000,52849.000000,53385.000000,53385.000000,2304800
2011-09-30,53385.000000,53385.000000,51897.000000,52324.000000,52324.000000,3072600
2011-10-03,52319.000000,52319.000000,50792.000000,50792.000000,50792.000000,3112400
2011-10-04,50790.000000,50790.000000,49433.000000,50686.000000,50686.000000,4038800
2011-10-05,50683.000000,51199.000000,50209.000000,51014.000000,51014.000000,2830400
2011-10-06,51016.000000,52729.000000,51016.000000,52290.000000,52290.000000,3145600
